p3373s3,pais,
4,Afganistán,
8,Albania,
276,Alemania,
20,Andorra,
24,Angola,
660,Anguila,
10,Antártida,
28,Antigua y Barbuda,
682,Arabia Saudita,
12,Argelia,
32,Argentina,
51,Armenia,
533,Aruba,
36,Australia,
40,Austria,
31,Azerbaiyán,
44,Bahamas,
48,Bahrein,
50,Bangladesh,
52,Barbados,
112,Belarús,
56,Bélgica,
84,Belice,
204,Benin,
60,Bermuda,
64,Bhután,
68,Bolivia,
535,Bonaire, San Eustaquio y Saba
70,Bosnia y Herzegovina,
72,Botswana,
76,Brasil,
96,Brunei Darussalam,
100,Bulgaria,
854,Burkina Faso,
108,Burundi,
132,Cabo Verde,
116,Camboya,
120,Camerún,
124,Canadá,
148,Chad,
203,Chequia,
152,Chile,
156,China,
344,China, región administrativa especial de Hong Kong
446,China, región administrativa especial de Macao
196,Chipre,
170,Colombia,
174,Comoras,
178,Congo,
180,República Democrática del Congo,
188,Costa Rica,
384,Costa de Marfil,
191,Croacia,
192,Cuba,
531,Curazao,
208,Dinamarca,
262,Djibouti,
212,Dominica,
218,Ecuador,
818,Egipto,
222,El Salvador,
784,Emiratos Árabes Unidos,
232,Eritrea,
703,Eslovaquia,
705,Eslovenia,
724,España,
275,Estado de Palestina,
840,Estados Unidos de América,
233,Estonia,
748,Eswatini,
231,Etiopía,
643,Federación de Rusia,
242,Fiji,
608,Filipinas,
246,Finlandia,
250,Francia,
266,Gabón,
270,Gambia,
268,Georgia,
239,Georgia del Sur y las Islas Sandwich del Sur,
288,Ghana,
292,Gibraltar,
308,Granada,
300,Grecia,
304,Groenlandia,
312,Guadalupe,
316,Guam,
320,Guatemala,
254,Guayana Francesa,
831,Guernsey,
324,Guinea,
226,Guinea Ecuatorial,
624,Guinea-Bissau,
328,Guyana,
332,Haití,
340,Honduras,
348,Hungría,
356,India,
360,Indonesia,
364,Irán,
368,Iraq,
372,Irlanda,
74,Isla Bouvet,
162,Isla Christmas,
833,Isla de Man,
574,Isla Norfolk,
352,Islandia,
248,Islas Åland,
136,Islas Caimán,
166,Islas Cocos (Keeling),
184,Islas Cook,
234,Islas Feroe,
334,Islas Heard y McDonald,
238,Islas Malvinas (Falkland),
580,Islas Marianas Septentrionales,
584,Islas Marshall,
581,Islas menores alejadas de Estados Unidos,
90,Islas Salomón,
744,Islas Svalbard y Jan Mayen,
796,Islas Turcas y Caicos,
92,Islas Vírgenes Británicas,
850,Islas Vírgenes de los Estados Unidos,
876,Islas Wallis y Futuna,
376,Israel,
380,Italia,
388,Jamaica,
392,Japón,
832,Jersey,
400,Jordania,
398,Kazajstán,
404,Kenya,
417,Kirguistán,
296,Kiribati,
414,Kuwait,
426,Lesotho,
428,Letonia,
422,Líbano,
430,Liberia,
434,Libia,
438,Liechtenstein,
440,Lituania,
442,Luxemburgo,
807,Macedonia del Norte,
450,Madagascar,
458,Malasia,
454,Malawi,
462,Maldivas,
466,Malí,
470,Malta,
504,Marruecos,
474,Martinica,
480,Mauricio,
478,Mauritania,
175,Mayotte,
484,México,
583,Micronesia (Estados Federados de),
492,Mónaco,
496,Mongolia,
499,Montenegro,
500,Montserrat,
508,Mozambique,
104,Myanmar,
516,Namibia,
520,Nauru,
524,Nepal,
558,Nicaragua,
562,Níger,
566,Nigeria,
570,Niue,
578,Noruega,
540,Nueva Caledonia,
554,Nueva Zelandia,
512,Omán,
528,Países Bajos,
586,Pakistán,
585,Palau,
591,Panamá,
598,Papua Nueva Guinea,
600,Paraguay,
604,Perú,
612,Pitcairn,
258,Polinesia Francesa,
616,Polonia,
620,Portugal,
630,Puerto Rico,
634,Qatar,
826,Reino Unido de Gran Bretaña e Irlanda del Norte,
760,República Árabe Siria,
140,República Centroafricana,
410,República de Corea,
498,República de Moldova,
214,República Dominicana,
418,República Democrática Popular Lao,
408,República Popular Democrática de Corea,
834,República Unida de Tanzanía,
638,Reunión,
642,Rumania,
646,Rwanda,
732,Sáhara Occidental,
659,Saint Kitts y Nevis,
882,Samoa,
16,Samoa Americana,
652,San Barthélemy,
674,San Marino,
663,San Martín (parte francesa),
534,San Martín (parte Holandesa),
666,San Pedro y Miquelón,
670,San Vicente y las Granadinas,
654,Santa Elena,
662,Santa Lucía,
336,Santa Sede,
678,Santo Tomé y Príncipe,
680,Sark,
686,Senegal,
688,Serbia,
690,Seychelles,
694,Sierra Leona,
702,Singapur,
706,Somalia,
144,Sri Lanka,
710,Sudáfrica,
729,Sudán,
728,Sudán del Sur,
752,Suecia,
756,Suiza,
740,Suriname,
764,Tailandia,
762,Tayikistán,
86,Territorio Británico del Océano Índico,
260,Territorio de las Tierras Australes Francesas,
626,Timor-Leste,
768,Togo,
772,Tokelau,
776,Tonga,
780,Trinidad y Tabago,
788,Túnez,
795,Turkmenistán,
792,Turquía,
798,Tuvalu,
804,Ucrania,
800,Uganda,
858,Uruguay,
860,Uzbekistán,
548,Vanuatu,
862,Venezuela,
704,Viet Nam,
887,Yemen,
894,Zambia,
716,Zimbabwe,
